_id,Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),CO2 emissions (g/km),CO2 rating,Smog rating,Recharge time (h)
5994,2015,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
5995,2015,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
5996,2015,Tesla,Model S (60 kWh),Full-size,285,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,n/a,n/a,10
5997,2015,Tesla,Model S (70 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,377,0,n/a,n/a,12
5998,2015,Tesla,Model S (85/90 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
5999,2015,Tesla,Model S 70D,Full-size,280,A1,B,20.8,20.6,20.7,2.3,2.3,2.3,386,0,n/a,n/a,12
6000,2015,Tesla,Model S 85D/90D,Full-size,280,A1,B,22.0,19.8,21.0,2.5,2.2,2.4,435,0,n/a,n/a,12
6001,2015,Tesla,Model S P85D/P90D,Full-size,515,A1,B,23.4,21.5,22.5,2.6,2.4,2.5,407,0,n/a,n/a,12
6002,2016,BMW,i3,Subcompact,125,A1,B,15.2,18.8,16.8,1.7,2.1,1.9,130,0,10,n/a,4
6003,2016,Chevrolet,Spark EV,Subcompact,104,A1,B,16.0,19.6,17.8,1.8,2.2,2.0,131,0,10,n/a,7
6004,2016,Ford,Focus Electric,Compact,107,A1,B,19.0,21.1,20.0,2.1,2.4,2.2,122,0,10,n/a,4
6005,2016,Kia,Soul EV,Station wagon: Small,81,A1,B,17.5,22.7,19.9,2.0,2.6,2.2,149,0,10,n/a,4
6006,2016,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,10,n/a,7
6007,2016,Nissan,LEAF (24 kWh),Mid-size,80,A1,B,16.5,20.8,18.4,1.9,2.3,2.1,135,0,10,n/a,5
6008,2016,Nissan,LEAF (30 kWh),Mid-size,80,A1,B,17.0,20.7,18.6,1.9,2.3,2.1,172,0,10,n/a,6
6009,2016,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,10,n/a,8
6010,2016,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,10,n/a,8
6011,2016,Tesla,Model S (60 kWh pre- 6/16),Full-size,285,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,10,n/a,10
6012,2016,Tesla,Model S (60 kWh),Full-size,285,A1,B,21.5,20.7,21.1,2.4,2.3,2.4,338,0,10,n/a,10
6013,2016,Tesla,Model S (70 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,377,0,10,n/a,12
6014,2016,Tesla,Model S (75 kWh),Full-size,285,A1,B,21.5,21.0,21.3,2.4,2.4,2.4,401,0,10,n/a,12
6015,2016,Tesla,Model S (85/90 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,10,n/a,12
6016,2016,Tesla,Model S 60D,Full-size,386,A1,B,20.6,19.6,20.2,2.3,2.2,2.3,351,0,10,n/a,10
6017,2016,Tesla,Model S 70D,Full-size,386,A1,B,20.8,20.6,20.7,2.3,2.3,2.3,386,0,10,n/a,12
6018,2016,Tesla,Model S 75D,Full-size,386,A1,B,20.6,19.9,20.3,2.3,2.2,2.3,417,0,10,n/a,12
6019,2016,Tesla,Model S 85D/90D,Full-size,386,A1,B,22.0,19.8,21.0,2.5,2.2,2.4,435,0,10,n/a,12
6020,2016,Tesla,Model S 90D (Refresh),Full-size,386,A1,B,20.8,19.7,20.3,2.3,2.2,2.3,473,0,10,n/a,12
